"Test Directory Package ID","Assay: Assay ID","Performance Detail Submission ID","Created Date","Assay: Company/Institution Name: Country","Assay: Company/Institution Name: City","Assay: Company/Institution Name: WHO Region","Assay: Company/Institution Name: Website","Assay: Company/Institution Name: Organisation Name","Assay: Assay Name","Assay: Primary Use Case","Assay: Assay Aim","Assay: Disease Target","Assay: Target Pathogen","Assay: Stage of Development","Assay: Regulatory Approval","Assay: Other Regulatory Approval","Assay: Planned Market Entry","Assay: Type of Technology","Assay: Assay Target","Assay: Target Analyte(s)","Assay: Technology principle","Assay: Other Technology principle","Assay: Readout Technology","Assay: Test Format","Assay: Other Test Format","Assay: Instrument requirement","Assay: Level of automation","Assay: Lab vs. POC","Assay: Self-testing/Self-Collection","Assay: Validated Sample Types","Assay: Other Validated Sample Type","Assay: Serovar subtype","Assay: Other serovar subtype","Assay: Time to results (mins)","Assay: Test to be listed on FIND's web page?","Data to be published on FIND's web page","Study Type","FIND Evaluation","Assay Target","Assay: Health Level","Total number of samples","Number of positive samples","Number of negative samples","Sensitivity (%)","95% CI for Clinical Sensitivity (Lower)","95% CI for Clinical Sensitivity (Upper)","Specificity (%)","95% CI for Clinical Specificity (Lower)","95% CI for Clinical Specificity (Upper)","Created By: Full Name","Last Modified By: Full Name","Instrument: Instrument ID","Instrument: Instrument Name"
"a2vVj000001VPT0","a2rVj00000080vh","","16.07.2024","China","Guangzhou","Western Pacific Region","en.wondfo.com","Guangzhou Wondfo Biotech Co., Ltd.","WELLlife COVID-19 / Influenza A&B Home Test","Diagnostic/confirmatory test","ID","Common Cold; Covid-19; Influenza; Pneumonia","Influenza A; Influenza B; SARS-CoV-2","Commercialisation","US FDA EUA","","Already on the market (commercialized)","Immunoassay","Antigen","Unknown","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Nasal swab","","","","10.00","Yes","","","","","Self-Testing","","","","","","","","","","Bastien Schyrr","Bastien Schyrr","",""
"a2vVj000001VTA1","a2rVj00000081AD","","16.07.2024","Korea, Republic of","Anyang-si","Western Pacific Region","osanghc.com","OSANG Healthcare Co., ltd.","QuickFinder COVID-19/Flu Antigen Self Test","Diagnostic/confirmatory test","ID","Covid-19; Influenza","Influenza A; Influenza B; SARS-CoV-2","Commercialisation","US FDA EUA","","Already on the market (commercialized)","Immunoassay","Antigen","Unknown","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Nasal swab","","Not applicable","","15.00","Yes","","","","","Self-Testing","","","","","","","","","","Bastien Schyrr","Bastien Schyrr","",""
"a2vVj000001VStt","a2rVj000000816z","","16.07.2024","China","Shenzhen","Western Pacific Region","watmind.com","Shenzhen Watmind Medical Co., ltd.","Speedy Swab Rapid COVID-19 + Flu A&B Antigen Test","Diagnostic/confirmatory test","ID","Common Cold; Covid-19; Influenza; Pneumonia","Influenza A; Influenza B; SARS-CoV-2","Commercialisation","US FDA EUA","","Already on the market (commercialized)","Immunoassay","Antigen","InfA N antigen; InfB N antigen; N-protein","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasal swab","","Not applicable","","15.00","Yes","","","","","L0: Community","","","","","","","","","","Bastien Schyrr","Bastien Schyrr","",""
"a2vVj000001VQwv","a2rVj00000080pF","","16.07.2024","China","Guangzhou","Western Pacific Region","en.wondfo.com","Guangzhou Wondfo Biotech Co., Ltd.","WELLlife COVID-19 / Influenza A&B Test","Diagnostic/confirmatory test","ID","Common Cold; Covid-19; Influenza; Pneumonia","Influenza A; Influenza B; SARS-CoV-2","Commercialisation","US FDA EUA","","Already on the market (commercialized)","Immunoassay","Antigen","InfA N antigen; InfB N antigen; N-protein","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasal swab","","Unspecified","","10.00","Yes","","","","","L0: Community","","","","","","","","","","Bastien Schyrr","Bastien Schyrr","",""
"a2vVj000001fW8D","a2rVj0000008nMv","","12.08.2024","United States","Pleasanton","Region of the Americas","diagnostics.roche.com","Roche Molecular Systems","cobas liat SARS-CoV-2, Influenza A/B & RSV nucleic acid test","Diagnostic/confirmatory test","ID","Common Cold; Covid-19; Influenza","Influenza A; Influenza B; Respiratory Syncytial Virus (RSV); SARS-CoV-2","Commercialisation","US FDA EUA","","Already on the market (commercialized)","Molecular","RNA","InfA Matrix gene; InfB NP gene; ORF1ab; RSV Matrix gene","PCR (conventional)","","Fluorescence","Cartridge-based processing","","A proprietary/new instrument is required","Fully automated (including sample preparation)","near Point of Care","Intended for professional use only","Nasal swab; Nasopharyngeal swab","","","","20.00","Yes","","","","","L1: Primary Care","","","","","","","","","","Bastien Schyrr","Bastien Schyrr","a2s690000019Jyv","Cobas liat analyser"
"a2vVj000001fWOM","a2rVj0000008nQ9","","12.08.2024","China","Hangzhou","Western Pacific Region","realytech.com","Hangzhou Realy Tech Co., ltd.","Sonictec RSV, Influenza A/B & Covid-19 Rapid Antigen Combo (Nasal) Self-Testing","Diagnostic/confirmatory test","ID","Common Cold; Covid-19; Influenza; Pneumonia","Influenza A; Influenza B; Respiratory Syncytial Virus (RSV); SARS-CoV-2","Commercialisation","Australia TGA","","Already on the market (commercialized)","Immunoassay","Antigen","Unknown","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Nasal swab","","","","","Yes","","","","","Self-Testing","","","","","","","","","","Bastien Schyrr","Bastien Schyrr","",""
"a2v69000004CiQl","a2r69000007ISY0","","28.03.2023","United States","Unknown","Region of the Americas","beiresources.org/Home.aspx","BEI Resources","Quantitative PCR (qPCR) Control RNA from Inactivated SARS Coronavirus, Urbani","Quality Control/Validation","ID","Covid-19; Pneumonia","SARS-CoV-2","Development","Other","Emergency Use Simple Letter Agreement (EUSLA)","Already on the market (commercialized)","Molecular","RNA","Whole Genome","","","","","","","","","","","","Not applicable","","","Yes","","","","","L2: District Hospital Lab; L4: Reference/National Lab","","","","","","","","","","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004CiQo","a2r69000007ISY3","","28.03.2023","United States","Unknown","Region of the Americas","beiresources.org/Home.aspx","BEI Resources","Genomic RNA from SARS-CoV-2, Isolate New York-PV08001/2020","Quality Control/Validation","ID","Covid-19; Pneumonia","SARS-CoV-2","Development","Other","Emergency Use Simple Letter Agreement (EUSLA)","Already on the market (commercialized)","Molecular","RNA","Whole Genome","","","","","","","","","","","","Not applicable","","","Yes","","","","","L2: District Hospital Lab; L4: Reference/National Lab","","","","","","","","","","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004CiR5","a2r69000007ISVb","","28.03.2023","United States","Unknown","Region of the Americas","beiresources.org/Home.aspx","BEI Resources","Genomic RNA, SARS-CoV-2, Japan/TY7-503/2021 (Brazil P.1)","Quality Control/Validation","ID","Covid-19; Pneumonia","SARS-CoV-2","Development","Other","Emergency Use Simple Letter Agreement (EUSLA)","Already on the market (commercialized)","Molecular","RNA","Whole Genome","","","","","","","","","","","","Not applicable","","","Yes","","","","","L2: District Hospital Lab; L4: Reference/National Lab","","","","","","","","","","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gKmy","a2r69000007lbLk","a266900000BscDF","06.07.2023","United States","Medford","Region of the Americas","chembio.com","Chembio Diagnostic Systems, Inc.","DPP Ebola-Malaria Antigen System","Triage/Screening","ID","Ebola fever","Ebola virus","Validation","Unknown","","Unknown","Immunoassay","Antigen","EBOV viral matrix protein 40","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","A proprietary/new instrument is required","Manual","True Point of Care","Intended for professional use only","Finger prick blood; Plasma; Venous blood; Whole Blood","","Ebola spp.","","15.00","Yes","No","Company-Sponsored","No","","L0: Community","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","Victoria Aroworade","Victoria Aroworade","a2s690000019Jz6","DPP Micro Reader"
"a2v69000004gL5T","a2r69000007lbLl","a266900000BscEs","06.07.2023","Belgium","Gembloux","European Region","corisbio.com","Coris BioConcept","EBOLA Ag K-SeT","Triage/Screening","ID","Ebola fever","Ebola virus","Validation","Unknown","","Unknown","Immunoassay","Antigen","EBOV viral matrix protein 40","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Zaire ebolavirus","","15.00","Yes","No","Company-Sponsored","No","","L0: Community","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLTH","a2r69000007lboz","a266900000BsctF","06.07.2023","Germany","Berlin","European Region","rki.de","Robert Koch Institute","HuPox mmPCR system","Diagnostic/confirmatory test","ID","Pox diseases (unspecified)","Orthopoxvirus","Validation","None","","Unspecified Market Entry","Molecular","DNA","Unknown","qPCR","","Fluorescence","Cartridge-based processing","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Unknown","","Unspecified","","","Yes","No","Independent","No","DNA","L2: District Hospital Lab","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLCY","a2r69000007lbPi","a266900000BscPx","06.07.2023","China","Unknown","Western Pacific Region","tebsun.com","Guangzhou Tebsun Bio-Tech Development Co., ltd.","2019-nCoV Antigen Test Kit(Colloidal Gold Immunochromatographic Assay)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antigen","N-protein","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab","","Not applicable","","15.00","Yes","No","Company-Sponsored","No","Antigen","L0: Community","408","182","226","95.10","90.90","97.40","99.60","97.50","99.90","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLCa","a2r69000007lbI9","a266900000BscQ1","06.07.2023","China","GuangZhou","Western Pacific Region","weimibio.com","Guangzhou Weimi Bio-Tech","COVID-19 Antigen Detection Reagent (Colloidal Gold method)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antigen","N-protein","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Nasopharyngeal swab","","Not applicable","","15.00","Yes","No","Company-Sponsored","No","Antigen","Self-Testing","219","113","106","93.81","87.76","96.97","99.06","94.85","100.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gKlL","a2r69000007lbxc","a266900000BscQ3","06.07.2023","China","Guangzhou","Western Pacific Region","en.wondfo.com","Guangzhou Wondfo Biotech Co., Ltd.","Finecare 2019-nCoV Antigen Test","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antigen","Unknown","Lateral Flow Assay","","Fluorescence","Rapid diagnostic test (strip or cassette)","","A proprietary/new instrument is required","Manual","near Point of Care","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab","","Not applicable","","15.00","Yes","No","Company-Sponsored","No","Antigen","L1: Primary Care","472","163","309","90.80","85.28","94.76","99.68","98.21","99.99","Victoria Aroworade","Victoria Aroworade","a2s69000003BEXf","Finecare FIA Meter Plus"
"a2v69000004gLCb","a2r69000007lbBK","a266900000BscQ7","06.07.2023","China","Guangzhou","Western Pacific Region","en.wondfo.com","Guangzhou Wondfo Biotech Co., Ltd.","Wondfo 2019-nCoV Antigen Test (Lateral Flow Method) - Nasal","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","None","","Already on the market (commercialized)","Immunoassay","Antigen","N-protein","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasal swab","","Not applicable","","15.00","Yes","No","Company-Sponsored","No","Antigen","L0: Community","0","0","0","97.83","0.00","0.00","98.60","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLCe","a2r69000007lbQU","a266900000BscQ8","06.07.2023","China","Guangzhou","Western Pacific Region","en.wondfo.com","Guangzhou Wondfo Biotech Co., Ltd.","2019-nCoV Real-Time RT-PCR Assay","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD; WHO EUL Under Assessment","","Already on the market (commercialized)","Molecular","RNA","N gene; ORF1ab","qPCR","","Fluorescence","NAT reagent kit (open source)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Bronchoalveolar lavage; Oropharyngeal swab","","Not applicable","","","Yes","No","Company-Sponsored","No","RNA","L2: District Hospital Lab","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLCd","a2r69000007lbCO","a266900000BscQ9","06.07.2023","China","Guangzhou","Western Pacific Region","en.wondfo.com","Guangzhou Wondfo Biotech Co., Ltd.","Wondfo 2019-nCoV Antigen Test (Lateral Flow Method)-Self-test","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","Australia TGA; CE-IVDD; Other","EU approval for self testing","Already on the market (commercialized)","Immunoassay","Antigen","N-protein","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Nasopharyngeal swab; Oropharyngeal swab","","Not applicable","","15.00","Yes","No","Company-Sponsored","No","Antigen","Self-Testing","411","71","340","92.96","0.00","0.00","98.53","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLCd","a2r69000007lbCO","a266900000BscQA","06.07.2023","China","Guangzhou","Western Pacific Region","en.wondfo.com","Guangzhou Wondfo Biotech Co., Ltd.","Wondfo 2019-nCoV Antigen Test (Lateral Flow Method)-Self-test","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","Australia TGA; CE-IVDD; Other","EU approval for self testing","Already on the market (commercialized)","Immunoassay","Antigen","N-protein","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Nasopharyngeal swab; Oropharyngeal swab","","Not applicable","","15.00","Yes","No","Company-Sponsored","No","Antigen","Self-Testing","774","251","623","91.63","0.00","0.00","99.84","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLCg","a2r69000007lbUL","a266900000BscQB","06.07.2023","China","Guangzhou","Western Pacific Region","en.wondfo.com","Guangzhou Wondfo Biotech Co., Ltd.","Wondfo 2019-nCoV Antigen Test (Lateral Flow Method)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","Australia TGA; CE-IVDD; WHO EUL","In multiple WHO lists, approved, under assessment, and failed appl. (20July)","Already on the market (commercialized)","Immunoassay","Antigen","N-protein","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab","","Not applicable","","15.00","Yes","No","Independent","No","Antigen","L0: Community","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLCg","a2r69000007lbUL","a266900000BscQC","06.07.2023","China","Guangzhou","Western Pacific Region","en.wondfo.com","Guangzhou Wondfo Biotech Co., Ltd.","Wondfo 2019-nCoV Antigen Test (Lateral Flow Method)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","Australia TGA; CE-IVDD; WHO EUL","In multiple WHO lists, approved, under assessment, and failed appl. (20July)","Already on the market (commercialized)","Immunoassay","Antigen","N-protein","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab","","Not applicable","","15.00","Yes","No","Independent","No","Antigen","L0: Community","70","36","34","75.00","0.00","0.00","0.00","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLCg","a2r69000007lbUL","a266900000BscQD","06.07.2023","China","Guangzhou","Western Pacific Region","en.wondfo.com","Guangzhou Wondfo Biotech Co., Ltd.","Wondfo 2019-nCoV Antigen Test (Lateral Flow Method)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","Australia TGA; CE-IVDD; WHO EUL","In multiple WHO lists, approved, under assessment, and failed appl. (20July)","Already on the market (commercialized)","Immunoassay","Antigen","N-protein","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab","","Not applicable","","15.00","Yes","No","Independent","No","Antigen","L0: Community","70","36","34","76.50","0.00","0.00","0.00","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLCg","a2r69000007lbUL","a266900000BscQE","06.07.2023","China","Guangzhou","Western Pacific Region","en.wondfo.com","Guangzhou Wondfo Biotech Co., Ltd.","Wondfo 2019-nCoV Antigen Test (Lateral Flow Method)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","Australia TGA; CE-IVDD; WHO EUL","In multiple WHO lists, approved, under assessment, and failed appl. (20July)","Already on the market (commercialized)","Immunoassay","Antigen","N-protein","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab","","Not applicable","","15.00","Yes","No","Independent","No","Antigen","L0: Community","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLCg","a2r69000007lbUL","a266900000BscQF","06.07.2023","China","Guangzhou","Western Pacific Region","en.wondfo.com","Guangzhou Wondfo Biotech Co., Ltd.","Wondfo 2019-nCoV Antigen Test (Lateral Flow Method)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","Australia TGA; CE-IVDD; WHO EUL","In multiple WHO lists, approved, under assessment, and failed appl. (20July)","Already on the market (commercialized)","Immunoassay","Antigen","N-protein","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab","","Not applicable","","15.00","Yes","No","Independent","Yes","Antigen","L0: Community","328","56","272","85.70","98.60","100.00","100.00","74.30","92.60","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLCg","a2r69000007lbUL","a266900000BscQG","06.07.2023","China","Guangzhou","Western Pacific Region","en.wondfo.com","Guangzhou Wondfo Biotech Co., Ltd.","Wondfo 2019-nCoV Antigen Test (Lateral Flow Method)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","Australia TGA; CE-IVDD; WHO EUL","In multiple WHO lists, approved, under assessment, and failed appl. (20July)","Already on the market (commercialized)","Immunoassay","Antigen","N-protein","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab","","Not applicable","","15.00","Yes","No","Independent","Yes","Antigen","L0: Community","237","76","161","89.50","95.60","99.70","98.80","80.60","94.60","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLCg","a2r69000007lbUL","a266900000BscQH","06.07.2023","China","Guangzhou","Western Pacific Region","en.wondfo.com","Guangzhou Wondfo Biotech Co., Ltd.","Wondfo 2019-nCoV Antigen Test (Lateral Flow Method)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","Australia TGA; CE-IVDD; WHO EUL","In multiple WHO lists, approved, under assessment, and failed appl. (20July)","Already on the market (commercialized)","Immunoassay","Antigen","N-protein","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab","","Not applicable","","15.00","Yes","No","Independent","Yes","Antigen","L0: Community","237","76","161","88.20","94.70","99.40","98.10","79.00","93.60","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLCg","a2r69000007lbUL","a266900000BscQI","06.07.2023","China","Guangzhou","Western Pacific Region","en.wondfo.com","Guangzhou Wondfo Biotech Co., Ltd.","Wondfo 2019-nCoV Antigen Test (Lateral Flow Method)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","Australia TGA; CE-IVDD; WHO EUL","In multiple WHO lists, approved, under assessment, and failed appl. (20July)","Already on the market (commercialized)","Immunoassay","Antigen","N-protein","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab","","Not applicable","","15.00","Yes","No","Company-Sponsored","Yes","Antigen","L0: Community","557","129","428","96.12","91.25","98.33","99.53","98.31","99.87","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLCf","a2r69000007lbTg","a266900000BscQJ","06.07.2023","China","Guangzhou","Western Pacific Region","en.wondfo.com","Guangzhou Wondfo Biotech Co., Ltd.","Wondfo 2019-nCoV Antibody Test(Lateral Flow Method)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","Australia TGA; CE-IVDD; China NMPA; WHO EUL Under Assessment","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","IgG; IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Not applicable","","15.00","Yes","No","Company-Sponsored","No","Antibody (serological)","L0: Community","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLCf","a2r69000007lbTg","a266900000BscQK","06.07.2023","China","Guangzhou","Western Pacific Region","en.wondfo.com","Guangzhou Wondfo Biotech Co., Ltd.","Wondfo 2019-nCoV Antibody Test(Lateral Flow Method)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","Australia TGA; CE-IVDD; China NMPA; WHO EUL Under Assessment","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","IgG; IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Not applicable","","15.00","Yes","No","Independent","Yes","Antibody (serological)","L0: Community","233","43","190","58.14","43.33","71.62","99.12","93.06","99.89","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLCf","a2r69000007lbTg","a266900000BscQL","06.07.2023","China","Guangzhou","Western Pacific Region","en.wondfo.com","Guangzhou Wondfo Biotech Co., Ltd.","Wondfo 2019-nCoV Antibody Test(Lateral Flow Method)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","Australia TGA; CE-IVDD; China NMPA; WHO EUL Under Assessment","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","IgG; IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Not applicable","","15.00","Yes","No","Independent","Yes","Antibody (serological)","L0: Community","239","49","190","83.67","70.96","91.49","99.12","93.06","99.89","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLCf","a2r69000007lbTg","a266900000BscQM","06.07.2023","China","Guangzhou","Western Pacific Region","en.wondfo.com","Guangzhou Wondfo Biotech Co., Ltd.","Wondfo 2019-nCoV Antibody Test(Lateral Flow Method)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","Australia TGA; CE-IVDD; China NMPA; WHO EUL Under Assessment","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","IgG; IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Not applicable","","15.00","Yes","No","Independent","Yes","Antibody (serological)","L0: Community","262","72","190","88.89","79.58","94.26","99.12","93.06","99.89","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLCf","a2r69000007lbTg","a266900000BscQN","06.07.2023","China","Guangzhou","Western Pacific Region","en.wondfo.com","Guangzhou Wondfo Biotech Co., Ltd.","Wondfo 2019-nCoV Antibody Test(Lateral Flow Method)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","Australia TGA; CE-IVDD; China NMPA; WHO EUL Under Assessment","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","IgG; IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Not applicable","","15.00","Yes","No","Independent","Yes","Antibody (serological)","L0: Community","233","43","190","58.14","71.62","43.33","99.12","99.89","93.06","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLCf","a2r69000007lbTg","a266900000BscQO","06.07.2023","China","Guangzhou","Western Pacific Region","en.wondfo.com","Guangzhou Wondfo Biotech Co., Ltd.","Wondfo 2019-nCoV Antibody Test(Lateral Flow Method)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","Australia TGA; CE-IVDD; China NMPA; WHO EUL Under Assessment","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","IgG; IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Not applicable","","15.00","Yes","No","Independent","Yes","Antibody (serological)","L0: Community","262","72","190","88.89","94.26","79.58","99.12","99.89","93.06","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLCf","a2r69000007lbTg","a266900000BscQP","06.07.2023","China","Guangzhou","Western Pacific Region","en.wondfo.com","Guangzhou Wondfo Biotech Co., Ltd.","Wondfo 2019-nCoV Antibody Test(Lateral Flow Method)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","Australia TGA; CE-IVDD; China NMPA; WHO EUL Under Assessment","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","IgG; IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Not applicable","","15.00","Yes","No","Independent","Yes","Antibody (serological)","L0: Community","239","49","190","83.67","91.49","70.96","99.12","99.89","93.06","Victoria Aroworade","Victoria Aroworade","",""
