"Test Directory Package ID","Assay: Assay ID","Performance Detail Submission ID","Created Date","Assay: Company/Institution Name: Country","Assay: Company/Institution Name: City","Assay: Company/Institution Name: WHO Region","Assay: Company/Institution Name: Website","Assay: Company/Institution Name: Organisation Name","Assay: Assay Name","Assay: Primary Use Case","Assay: Assay Aim","Assay: Disease Target","Assay: Target Pathogen","Assay: Stage of Development","Assay: Regulatory Approval","Assay: Other Regulatory Approval","Assay: Planned Market Entry","Assay: Type of Technology","Assay: Assay Target","Assay: Target Analyte(s)","Assay: Technology principle","Assay: Other Technology principle","Assay: Readout Technology","Assay: Test Format","Assay: Other Test Format","Assay: Instrument requirement","Assay: Level of automation","Assay: Lab vs. POC","Assay: Self-testing/Self-Collection","Assay: Validated Sample Types","Assay: Other Validated Sample Type","Assay: Serovar subtype","Assay: Other serovar subtype","Assay: Time to results (mins)","Assay: Test to be listed on FIND's web page?","Data to be published on FIND's web page","Study Type","FIND Evaluation","Assay Target","Assay: Health Level","Total number of samples","Number of positive samples","Number of negative samples","Sensitivity (%)","95% CI for Clinical Sensitivity (Lower)","95% CI for Clinical Sensitivity (Upper)","Specificity (%)","95% CI for Clinical Specificity (Lower)","95% CI for Clinical Specificity (Upper)","Created By: Full Name","Last Modified By: Full Name","Instrument: Instrument ID","Instrument: Instrument Name"
"a2v69000004gKjt","a2r69000007lbzA","a266900000Bsd7f","06.07.2023","Germany","Berlin","European Region","tib-molbiol.de","TIB Molbiol/Roche Diagnostics","LightMix Modular SARS-CoV-2 (COVID19) E-gene","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Status Unknown","Unknown","","Already on the market (commercialized)","Molecular","RNA","E gene","qPCR","","Fluorescence","NAT reagent kit (open source)","","A proprietary/new instrument is required","Manual","Lab-based","Intended for professional use only","Unknown","","Not applicable","","","Yes","No","Company-Sponsored","Yes","RNA","L2: District Hospital Lab","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","Victoria Aroworade","Victoria Aroworade","a2s690000019K0t","Lightcycler 480 system"
"a2v69000004gLaW","a2r69000007lbWh","a266900000Bsd8a","06.07.2023","Mexico","Mexico City","Region of the Americas","productos.udibi.com.mx/uditest-v2g","UDIBI - ENCB Instituto Politécnico Nacional","UDITEST-V2G","Monitoring (treatment, immune status, patient)","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Status Unknown","Unknown","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","IgG","ELISA/EIA","Quantum Dot fluorescence","Colorimetric","IA Reagent Kit","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Plasma; Serum","","Not applicable","","","Yes","No","Company-Sponsored","No","Antibody (serological)","L2: District Hospital Lab","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLan","a2r69000007lbMX","a266900000Bsd8w","06.07.2023","United States","Houston","Region of the Americas","vaximmune.com and labready.com","Vax-Immune Diagnostics","SARS-CoV-2 Rapid Ag Test","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Status Unknown","Unknown","","Already on the market (commercialized)","Immunoassay","Antigen","Unknown","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasal swab","","Not applicable","","","Yes","No","Company-Sponsored","No","Antigen","L0: Community","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLay","a2r69000007lbyv","a266900000Bsd9H","06.07.2023","Viet Nam","Ho Chi Minh","Western Pacific Region","vietacorp.com","Viet A Technology Corporation","LightPower iVASARS-CoV-2 1st RT-rPCR Kit","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Status Unknown","Unknown","","Already on the market (commercialized)","Molecular","RNA","Unknown","qPCR","","Fluorescence","NAT reagent kit (open source)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Unknown","","Not applicable","","","Yes","No","Company-Sponsored","No","RNA","L2: District Hospital Lab","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLbU","a2r69000007lbfq","a266900000BsdAB","06.07.2023","Spain","Huesca","European Region","VITASSAY.COM","Vitassay Healthcare S.L.","Vitassay qPCR Dengue","Diagnostic/confirmatory test","ID","Dengue fever","Dengue virus","Regulatory Status Unknown","Unknown","","Already on the market (commercialized)","Molecular","RNA","Unknown","qPCR","","Fluorescence","NAT reagent kit (open source)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Unknown","","Unspecified","","","Yes","No","Company-Sponsored","No","RNA","L2: District Hospital Lab","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLbl","a2r69000007lbfr","a266900000BsdBD","06.07.2023","Malaysia","Setia Alam","Western Pacific Region","vivantechnologies.com","Vivantis Technologies Sdn Bhd","ViPrimePLUS Dengue Virus subtypes 1, 2, 3 and 4 RT-qPCR Kit","Diagnostic/confirmatory test","ID","Dengue fever","Dengue virus","Regulatory Status Unknown","Unknown","","Already on the market (commercialized)","Molecular","RNA","Unknown","qPCR","","Fluorescence","NAT reagent kit (open source)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Unknown","","Unspecified","","","Yes","No","Company-Sponsored","No","RNA","L2: District Hospital Lab","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLc3","a2r69000007lbfx","a266900000BsdBZ","06.07.2023","Korea, Republic of","Seoul","Western Pacific Region","wellsbio.net","Wells Bio, Inc.","CareUS Dengue Combo NS1 & IgM/IgG","Diagnostic/confirmatory test","ID","Dengue fever","Dengue virus","Regulatory Status Unknown","Unknown","","Already on the market (commercialized)","Immunoassay","Antibody (serological) + Antigen","Anti-DENV IgG; Anti-DENV IgM; DENV NS1","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Unspecified","","15.00","Yes","No","Independent","No","Antibody (serological) + Antigen","L0: Community","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLc3","a2r69000007lbfx","a266900000BsdBa","06.07.2023","Korea, Republic of","Seoul","Western Pacific Region","wellsbio.net","Wells Bio, Inc.","CareUS Dengue Combo NS1 & IgM/IgG","Diagnostic/confirmatory test","ID","Dengue fever","Dengue virus","Regulatory Status Unknown","Unknown","","Already on the market (commercialized)","Immunoassay","Antibody (serological) + Antigen","Anti-DENV IgG; Anti-DENV IgM; DENV NS1","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Unspecified","","15.00","Yes","No","Company-Sponsored","No","Antibody (serological)","L0: Community","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLc5","a2r69000007lbgH","a266900000BsdBc","06.07.2023","Korea, Republic of","Seoul","Western Pacific Region","wellsbio.net","Wells Bio, Inc.","CareUS Dengue NS1","Diagnostic/confirmatory test","ID","Dengue fever","Dengue virus","Regulatory Status Unknown","Unknown","","Already on the market (commercialized)","Immunoassay","Antigen","DENV NS1","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Unspecified","","15.00","Yes","No","Company-Sponsored","No","Antigen","L0: Community","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLc4","a2r69000007lbgG","a266900000BsdBd","06.07.2023","Korea, Republic of","Seoul","Western Pacific Region","wellsbio.net","Wells Bio, Inc.","CareUS Dengue IgM/IgG","Diagnostic/confirmatory test","ID","Dengue fever","Dengue virus","Regulatory Status Unknown","Unknown","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Anti-DENV IgG; Anti-DENV IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Unspecified","","15.00","Yes","No","Company-Sponsored","No","Antibody (serological)","L0: Community","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
